Store,Dept,residual_std
1,1,866.7865856448329
1,2,1163.5607059469164
1,3,732.1913551519236
1,4,783.7222023263577
1,5,1143.7053307730898
1,6,457.0080541139159
1,7,1001.7383087016109
1,8,756.7260604396054
1,9,1094.4820342462415
1,10,1051.1990274729299
1,11,1054.9548668703528
1,12,574.5388343386412
1,13,737.9240274867265
1,14,602.3066279413046
1,16,1198.0113473309364
1,17,515.8527694748738
1,18,864.0490825785038
1,19,177.69987655588332
1,20,367.5538700605177
1,21,324.9803713214562
1,22,516.9509134900206
1,23,792.0611057589795
1,24,547.9621833391122
1,25,623.4144589716389
1,26,444.15236893454664
1,27,143.4910702778355
1,28,58.98573468118252
1,29,314.57363948129955
1,30,217.04756976128
1,31,269.8208118254676
1,32,675.4242050954787
1,33,440.56711873998717
1,34,616.5648956648492
1,35,184.95496705804905
1,36,330.72907086935203
1,37,160.74192828887436
1,38,2575.127797619383
1,40,1191.763383681069
1,41,191.50001911705124
1,42,390.77145981106
1,44,285.4009497844856
1,45,17.162952403504676
1,46,506.38824312489004
1,47,101.55476775924996
1,48,421.8793445828044
1,49,698.0996956762391
1,52,203.72108855495964
1,54,33.57719848713368
1,55,693.2478218381426
1,56,404.47383208212716
1,58,494.8075149994157
1,59,191.44835287317088
1,60,135.6996799196603
1,67,783.2182213130532
1,71,387.6154071918933
1,72,3122.2020714289065
1,74,604.7571868186842
1,79,2089.5317913208214
1,80,516.0772942049283
1,81,671.0697089876343
1,82,481.27610900295326
1,83,424.93356347080413
1,85,228.2785601456726
1,87,2516.5497760075973
1,90,1793.6454020573954
1,91,1811.8776742563962
1,92,6738.014957913533
1,93,2380.897828362035
1,94,2531.8611893923958
1,95,4477.106612265973
1,96,1096.1916206919618
1,97,1101.9591069836263
1,98,659.8044504651615
1,99,172.9769678339204
2,1,971.8307882505179
2,2,620.26399615463
2,3,583.6024521526369
2,4,475.1190735162583
2,5,876.8770380178039
2,6,242.97213277103776
2,7,1335.9472953093746
2,8,568.6859842116037
2,9,748.1081996483659
2,10,559.1833550171475
2,11,671.6294969668191
2,12,178.53716585671697
2,13,445.71791011235797
2,14,400.7486139876421
2,16,805.5406799608238
2,17,262.7366882164188
2,18,686.6406700785195
2,19,147.32662387528788
2,20,117.19257290864405
2,21,107.07409401609242
2,22,433.15133484466463
2,23,744.1590455021512
2,24,228.89395366038548
2,25,317.0788941375917
